endnodenm,endvehicletime,routeid,routeno,routetp,startnodenm,startvehicletime
귀목종점,1700,GGB239000005,40-5,농어촌(일반)버스,현리터미널,0640
청평터미널,1920,GGB239000006,43,농어촌(일반)버스,현리터미널,0600
행현2리,1650,GGB239000007,40-6,농어촌(일반)버스,현리터미널,0720
고재,2000,GGB239000010,30-5,농어촌(일반)버스,청평터미널,0620
수리재종점,1830,GGB239000011,30-3,농어촌(일반)버스,청평터미널,0700
광릉내,1700,GGB239000012,80,농어촌(일반)버스,현리시장앞,0900
사기막.성주사,1920,GGB239000013,30-6,농어촌(일반)버스,청평터미널,0950
상봉수리,1830,GGB239000014,40-2,농어촌(일반)버스,현리시장앞,0645
현대코아,2330,GGB239000024,1330-44,농어촌(좌석)버스,운악산입구,0500
가평터미널,1830,GGB239000031,73-1,농어촌(일반)버스,청평터미널,0640
남이섬종점,1940,GGB239000032,10-4,농어촌(일반)버스,가평터미널,0740
설악터미널,1830,GGB239000033,12,농어촌(일반)버스,가평터미널,0700
빙하리종점,1820,GGB239000036,10-6,농어촌(일반)버스,가평터미널,0805
돌아우마을,1730,GGB239000038,74-1,농어촌(일반)버스,현리터미널,0700
대보2리종점,1820,GGB239000040,40-4,농어촌(일반)버스,현리터미널,0650
마일1리회관,1820,GGB239000041,74-2,농어촌(일반)버스,현리시장앞,0745
영천벌,1840,GGB239000044,20-1,농어촌(일반)버스,설악터미널,0725
묵안리종점,2110,GGB239000045,20-3,농어촌(일반)버스,설악터미널,0620
두밀리종점,1850,GGB239000047,60-29,농어촌(일반)버스,가평터미널,0650
개곡2리마을회관,1900,GGB239000048,71-1,농어촌(일반)버스,가평역,0725
호명호수,1730,GGB239000055,30-4,농어촌(일반)버스,호명산슈퍼,0920
강산여성요양병원,1800,GGB239000058,71-3,농어촌(일반)버스,가평터미널,0650
대리종점,2110,GGB239000065,20-2,농어촌(일반)버스,설악터미널,0705
미사리종점,1950,GGB239000068,20-5,농어촌(일반)버스,설악터미널,0640
모곡,1840,GGB239000072,20-4,농어촌(일반)버스,설악터미널,0650
수목원.종점,1550,GGB239000078,30-7,농어촌(일반)버스,청평터미널,0920
수입1리.마을회관,1940,GGB239000082,30-2,농어촌(일반)버스,청평터미널,0640
가평역,1900,GGB239000084,10-7,농어촌(일반)버스,가평터미널,0440
연인산도립공원,1845,GGB239000101,71-4,농어촌(일반)버스,가평역,0650
현대코아,2200,GGB239000104,8005,직행좌석버스,유명산종점,0600
현대코아,2330,GGB239000110,1330-2,직행좌석버스,가평터미널,0500
현대코아,,GGB239000111,1330-4,농어촌(좌석)버스,현리터미널,0445
목동터미널,2210,GGB239000112,15,농어촌(일반)버스,가평역,0445
한석봉도서관,1830,GGB239000120,60-19,농어촌(일반)버스,가평터미널,0830
읍내10리,1900,GGB239000121,60-10,농어촌(일반)버스,가평터미널,0800
가평터미널,1810,GGB239000129,41,농어촌(일반)버스,현리터미널,0750
현대코아,1745,GGB239000135,1330-3,직행좌석버스,목동터미널,0615
귀목종점,1840,GGB239000138,40-8,농어촌(일반)버스,현리터미널,0720
잠실역.롯데월드,2150,GGB239000139,7000,직행좌석버스,가평터미널,0630
잠실역.롯데월드,2355,GGB239000140,7001,직행좌석버스,효정매그놀리아국제병원,0530
잠실역.롯데월드,2245,GGB239000141,7002,직행좌석버스,유명산종점,0555
행현2리,1650,GGB239000142,30-8,농어촌(일반)버스,청평터미널,0730
산유리유동,1910,GGB239000143,71-2,농어촌(일반)버스,가평터미널,1110
불기종점,1900,GGB239000144,74-3,농어촌(일반)버스,현리터미널,0810
꽃넘이길종점,1455,GGB239000145,15-3,농어촌(일반)버스,가평터미널,0950
백둔리종점,1700,GGB239000146,15-1,농어촌(일반)버스,가평터미널,0650
싸리재종점,1635,GGB239000147,15-2,농어촌(일반)버스,가평터미널,0705
건들레.종점,1710,GGB239000148,15-4,농어촌(일반)버스,가평터미널,0640
용수동종점,1705,GGB239000149,15-5,농어촌(일반)버스,가평터미널,0615
청평역,2150,GGB239000153,23-1,농어촌(일반)버스,설악터미널,0520
용수동종점,0755,GGB239000154,60-30,농어촌(일반)버스,가평역,0705
생명의빛홈타운,1830,GGB239000156,20-6,농어촌(일반)버스,설악터미널,0700
송천리,1840,GGB239000157,30,농어촌(일반)버스,청평터미널,0720
귀목종점,2120,GGB239000158,44,일반버스,청평터미널,0450
읍내10리,2030,GGB239000159,60,농어촌(일반)버스,가평터미널,0730
